Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,battingStyle,playingRole,Batting_Order,Range
Mitchell Starc,16,38,2,0,42.10,Left hand Bat,Bowler,8,"7,8,9"
Mitchell Starc,16,38,2,0,42.10,Left hand Bat,Bowler,8,"7,8,9"
Pat Cummins,14,29,2,0,48.30,Right hand Bat,Bowler,9,"8,9,10"
Pat Cummins,14,29,2,0,48.30,Right hand Bat,Bowler,9,"8,9,10"
Litton Das,0,1,0,0,0.00,Right hand Bat,Wicketkeeper Batter,1,1
Tanzid Hasan,16,17,4,0,94.10,Left hand Bat,Top order Batter,2,"1,2,3"
Mehidy Hasan Miraz,30,46,4,0,65.20,Right hand Bat,Allrounder,3,"2,3,4"
Najmul Hossain Shanto,7,8,1,0,87.50,Left hand Bat,Top order Batter,4,"3,4,5"
Shakib Al Hasan,40,51,3,2,78.40,Left hand Bat,Allrounder,5,"4,5,6"
Mushfiqur Rahim,66,75,6,2,88.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Towhid Hridoy,13,25,0,0,52.00,Right hand Bat,Middle order Batter,7,"6,7,8"
Mahmudullah,41,49,2,2,83.70,Right hand Bat,Middle order Batter,8,"7,8,9"
Taskin Ahmed,17,19,0,2,89.50,Left hand Bat,Bowler,9,"8,9,10"
Mustafizur Rahman,4,10,0,0,40.00,Left hand Bat,Bowler,10,"9,10,11"
Shoriful Islam,2,3,0,0,66.70,Left hand Bat,Bowler,11,"10,11"
Devon Conway,45,59,3,0,76.30,Left hand Bat,Wicketkeeper Batter,1,1
Rachin Ravindra,9,13,2,0,69.20,Left hand Bat,Top order Batter,2,"1,2,3"
Kane Williamson,78,107,8,1,72.90,Right hand Bat,Top order Batter,3,"2,3,4"
Daryl Mitchell,89,67,6,4,132.80,Right hand Bat,Allrounder,4,"3,4,5"
Glenn Phillips,16,11,1,1,145.50,Right hand Bat,Wicketkeeper Batter,5,"4,5,6"
Abdullah Shafique,20,24,3,0,83.30,Right hand Bat,Top order Batter,1,1
Imam-ul-Haq,36,38,6,0,94.70,Left hand Bat,Top order Batter,2,"1,2,3"
Babar Azam,50,58,7,0,86.20,Right hand Bat,Top order Batter,3,"2,3,4"
Mohammad Rizwan,49,69,7,0,71.00,Right hand Bat,Wicketkeeper Batter,4,"3,4,5"
Saud Shakeel,6,10,0,0,60.00,Left hand Bat,Middle order Batter,5,"4,5,6"
Iftikhar Ahmed,4,4,1,0,100.00,Right hand Bat,Middle order Batter,6,"5,6,7"
Shadab Khan,2,5,0,0,40.00,Right hand Bat,Allrounder,7,"6,7,8"
Mohammad Nawaz,4,14,0,0,28.60,Left hand Bat,Allrounder,8,"7,8,9"
Hasan Ali,12,19,2,0,63.20,Right hand Bat,Bowler,9,"8,9,10"
Shaheen Afridi,2,10,0,0,20.00,Left hand Bat,Bowler,10,"9,10,11"
Haris Rauf,2,6,0,0,33.30,Right hand Bat,Bowler,11,"10,11"
Rohit Sharma,86,63,6,6,136.50,Right hand Bat,Top order Batter,1,1
