Batsman_Name,Runs,Balls,4s,6s,Strike_Rate,playingRole,Range
Mark Wood,18,22,3,0,81.8,Bowler,"9,10,11"
Reece Topley,15,7,3,0,214.3,Bowler,"10,11"
Pathum Nissanka,61,67,8,0,91,Top order Batter,1
Kusal Janith Perera,78,82,12,0,95.1,Top order Batter,"1,2,3"
Kusal Mendis,9,13,0,0,69.2,Wicketkeeper Batter,"2,3,4"
Sadeera Samarawickrama,8,8,1,0,100,Top order Batter,"3,4,5"
Charith Asalanka,25,39,0,1,64.1,Batting Allrounder,"4,5,6"
Dhananjaya de Silva,7,13,1,0,53.8,Allrounder,"5,6,7"
Chamika Karunaratne,2,11,0,0,18.2,Bowling Allrounder,"7,8,9"
Maheesh Theekshana,0,5,0,0,0,Bowler,"8,9,10"
Lahiru Kumara,4,8,1,0,50,Bowler,"9,10,11"
Mitchell Marsh,52,51,9,0,102,Allrounder,1
David Warner,11,6,0,1,183.3,Opening Batter,"1,2,3"
Steve Smith,0,5,0,0,0,Top order Batter,"2,3,4"
Marnus Labuschagne,40,60,2,0,66.7,Top order Batter,"3,4,5"
Josh Inglis,58,59,5,1,98.3,Wicketkeeper Batter,"4,5,6"
Glenn Maxwell,31,21,4,2,147.6,Batting Allrounder,"5,6,7"
Marcus Stoinis,20,10,2,1,200,Batting Allrounder,"6,7,8"
Vikramjit Singh,2,16,0,0,12.5,Opening Batter,1
Max O'Dowd,18,25,4,0,72,Opening Batter,"1,2,3"
Colin Ackermann,12,25,1,0,48,Batting Allrounder,"2,3,4"
Bas de Leede,2,7,0,0,28.6,Batting Allrounder,"3,4,5"
Logan van Beek,10,27,1,0,37,Bowler,"7,8,9"
Roelof van der Merwe,29,19,3,1,152.6,Allrounder,"8,9,10"
Temba Bavuma,16,31,2,1,51.6,Top order Batter,1
Quinton de Kock,20,22,3,0,90.9,Wicketkeeper Batter,"1,2,3"
Rassie van der Dussen,4,7,0,0,57.1,Top order Batter,"2,3,4"
Aiden Markram,1,3,0,0,33.3,Opening Batter,"3,4,5"
Heinrich Klaasen,28,28,4,0,100,Wicketkeeper Batter,"4,5,6"
